sales_id,employee_id,date,client_id,sales_amont
1186,1004,1/3/2020,123, $6749.34 
1210,1004,1/4/2020,139, $7361.11 
1330,1004,10/16/2020,117, $4112.50 
1380,1004,10/21/2020,154, $9160.92 
1599,1004,11/17/2020,136, $4862.62 
1629,1004,11/20/2020,140, $3921.85 
1843,1004,12/20/2019,142, $7749.90 
2615,1004,4/21/2020,102, $6577.16 
2895,1004,5/24/2020,105, $8294.05 
3910,1004,9/27/2020,124, $9310.75 
1161,1005,1/26/2020,124, $3950.65 
1278,1005,10/10/2020,132, $3210.39 
1398,1005,10/23/2020,118, $7900.87 
1441,1005,10/28/2020,105, $7658.40 
1681,1005,11/27/2020,128, $3777.64 
2353,1005,3/20/2020,106, $9571.47 
3250,1005,6/6/2020,134, $6403.38 
3338,1005,7/18/2020,125, $6397.37 
3834,1005,9/19/2020,121, $9139.99 
3969,1005,9/6/2020,118, $3114.54 
1015,1009,1/11/2020,119, $7309.86 
1589,1009,11/16/2020,114, $5820.29 
2710,1009,4/4/2020,119, $9370.39 
2791,1009,5/13/2020,159, $3251.08 
2806,1009,5/15/2020,149, $5666.06 
2934,1009,5/29/2020,120, $3693.08 
3033,1009,6/10/2020,137, $9646.16 
3782,1009,9/13/2020,129, $8785.55 
3783,1009,9/13/2020,148, $9620.95 
3813,1009,9/17/2020,119, $4967.17 
1557,1012,11/11/2020,142, $7815.73 
1913,1012,12/29/2019,120, $5482.30 
2224,1012,2/7/2020,149, $6711.34 
2554,1012,4/15/2020,151, $9028.72 
3159,1012,6/23/2020,135, $4914.62 
3210,1012,6/3/2020,159, $5298.67 
3281,1012,7/11/2020,142, $4123.80 
3426,1012,7/29/2020,113, $4680.37 
3432,1012,7/3/2020,111, $5970.22 
3976,1012,9/7/2020,137, $5146.17 
1682,1017,11/27/2020,106, $8986.92 
2120,1017,2/22/2020,152, $9367.38 
2397,1017,3/25/2020,154, $8355.83 
2506,1017,4/1/2020,158, $3605.39 
3060,1017,6/14/2020,102, $3742.44 
3142,1017,6/21/2020,134, $3671.00 
3304,1017,7/14/2020,141, $7527.95 
3481,1017,7/8/2020,159, $3570.82 
3686,1017,8/30/2020,112, $9110.71 
3938,1017,9/3/2020,113, $6554.60 
1698,1025,11/29/2020,103, $8090.32 
2133,1025,2/24/2020,137, $8914.49 
2659,1025,4/27/2020,138, $4807.02 
2688,1025,4/29/2020,140, $9631.37 
2842,1025,5/18/2020,147, $5966.91 
3061,1025,6/14/2020,124, $3184.35 
3314,1025,7/15/2020,129, $8324.42 
3631,1025,8/25/2020,145, $7913.63 
3662,1025,8/28/2020,143, $3955.68 
3884,1025,9/24/2020,124, $6401.24 
1142,1026,1/23/2020,149, $8882.65 
1483,1026,10/4/2020,147, $8968.58 
2437,1026,3/30/2020,101, $9763.61 
2546,1026,4/14/2020,115, $8575.30 
2567,1026,4/16/2020,147, $8310.88 
2950,1026,5/30/2020,140, $8088.32 
3374,1026,7/21/2020,152, $9832.94 
3644,1026,8/27/2020,110, $7449.59 
3645,1026,8/27/2020,135, $9646.32 
3749,1026,8/9/2020,138, $8532.73 
1176,1031,1/28/2020,138, $9332.94 
1931,1031,12/30/2019,159, $9672.01 
2158,1031,2/27/2020,147, $8257.28 
2199,1031,2/5/2020,125, $6642.64 
2982,1031,5/6/2020,141, $9185.32 
3121,1031,6/2/2020,125, $7010.98 
3252,1031,6/7/2020,130, $4224.07 
3525,1031,8/13/2020,137, $9365.40 
3663,1031,8/28/2020,126, $4271.05 
3835,1031,9/19/2020,117, $4523.37 
1166,1033,1/27/2020,119, $6014.58 
1300,1033,10/13/2020,103, $9643.81 
1341,1033,10/17/2020,131, $9598.28 
1363,1033,10/2/2020,119, $7511.08 
1381,1033,10/21/2020,126, $4949.14 
1507,1033,10/6/2020,141, $3771.56 
1828,1033,12/18/2019,111, $4151.84 
2826,1033,5/17/2020,112, $5294.34 
3449,1033,7/4/2020,146, $4080.82 
3599,1033,8/22/2020,148, $9384.36 
1268,1034,10/1/2020,120, $3668.66 
1660,1034,11/24/2020,107, $6518.07 
1797,1034,12/13/2019,132, $6888.00 
2318,1034,3/16/2020,122, $3615.11 
2376,1034,3/23/2020,124, $3194.96 
2507,1034,4/1/2020,150, $6590.45 
2849,1034,5/19/2020,134, $4123.91 
3108,1034,6/19/2020,113, $9117.85 
3109,1034,6/19/2020,143, $7789.43 
3135,1034,6/20/2020,110, $7448.67 
1370,1035,10/20/2020,105, $5530.40 
1456,1035,10/29/2020,145, $9453.27 
1600,1035,11/17/2020,117, $5237.24 
2042,1035,2/13/2020,131, $6745.80 
2251,1035,3/1/2020,123, $8000.78 
2473,1035,3/6/2020,151, $3751.98 
2827,1035,5/17/2020,101, $4803.08 
3410,1035,7/27/2020,127, $6474.59 
3690,1035,8/31/2020,147, $4161.16 
3901,1035,9/26/2020,104, $8056.82 
1618,1036,11/2/2020,157, $4252.54 
1862,1036,12/23/2019,115, $4822.03 
2262,1036,3/10/2020,143, $9224.37 
2605,1036,4/20/2020,140, $9955.93 
2807,1036,5/15/2020,160, $4749.33 
2994,1036,5/7/2020,126, $6797.32 
3350,1036,7/2/2020,107, $7422.08 
3609,1036,8/23/2020,155, $8669.57 
3734,1036,8/7/2020,106, $4226.98 
3957,1036,9/4/2020,155, $8423.82 
1050,1037,1/14/2020,150, $8443.26 
2020,1037,2/10/2020,129, $7915.64 
2043,1037,2/13/2020,128, $8037.45 
2263,1037,3/10/2020,146, $8356.12 
2306,1037,3/15/2020,134, $5914.32 
2438,1037,3/30/2020,115, $8491.89 
2797,1037,5/14/2020,130, $8766.84 
3039,1037,6/11/2020,133, $9031.26 
3082,1037,6/16/2020,126, $7250.05 
3399,1037,7/25/2020,159, $7280.20 
1081,1038,1/17/2020,133, $4114.66 
1250,1038,1/8/2020,134, $4552.84 
1590,1038,11/16/2020,158, $6569.97 
1699,1038,11/29/2020,147, $8087.32 
1896,1038,12/28/2019,133, $9182.82 
1982,1038,12/7/2019,114, $9091.50 
2307,1038,3/15/2020,158, $3464.07 
2660,1038,4/27/2020,104, $9255.60 
2689,1038,4/29/2020,127, $8943.21 
3446,1038,7/31/2020,103, $4535.73 
1229,1039,1/6/2020,127, $8403.54 
1284,1039,10/11/2020,155, $4058.57 
1567,1039,11/13/2020,160, $6062.68 
1768,1039,12/10/2019,102, $7765.83 
1774,1039,12/11/2019,138, $9348.97 
